,id,date_added,uri,track_href,name,artist,country,type,tempo,duration_ms,time_signature,key,mode,danceability,energy,loudness,liveness,valence,speechiness,acousticness,instrumentalness
186,422,2024-02-29 00:00:00.939563,505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/tracks/505v13epFXodT9fVAJ6h8k,AMARGURA,KAROL G,El Salvador,audio_features,106.966,170480,4,6,0,0.92,0.696,-3.356,0.149,0.545,0.0742,0.183,0.0
187,416,2024-02-29 00:00:00.939563,2yzshFeBIwH8tWIqHEFLeD,https://api.spotify.com/v1/tracks/2yzshFeBIwH8tWIqHEFLeD,un x100to,Grupo Frontera,El Salvador,audio_features,83.827,194563,4,9,1,0.571,0.72,-4.089,0.271,0.542,0.0458,0.213,0.0
188,595,2024-02-29 00:00:00.939563,5Eax0qFko2dh7Rl2lYs3bx,https://api.spotify.com/v1/tracks/5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,El Salvador,audio_features,98.047,213061,4,7,0,0.801,0.475,-8.797,0.0639,0.234,0.0516,0.141,1.73e-05
189,447,2024-02-29 00:00:00.939563,35wvL50xvKpCHEJPxLOLPI,https://api.spotify.com/v1/tracks/35wvL50xvKpCHEJPxLOLPI,Si Estuviésemos Juntos,Bad Bunny,El Salvador,audio_features,171.854,169248,4,1,0,0.672,0.594,-6.813,0.152,0.158,0.0789,0.0626,5.14e-05
190,600,2024-02-27 00:00:00.923904,32hCeeK3ayPux4UauNPsgA,https://api.spotify.com/v1/tracks/32hCeeK3ayPux4UauNPsgA,ALV,Arcángel,El Salvador,audio_features,93.051,160040,4,11,0,0.777,0.65,-4.156,0.116,0.401,0.213,0.128,0.0
191,418,2024-02-29 00:00:00.939563,6XaJfhwof7qIgbbXO5tIQI,https://api.spotify.com/v1/tracks/6XaJfhwof7qIgbbXO5tIQI,Igual Que Un Ángel (with Peso Pluma),Kali Uchis,El Salvador,audio_features,107.999,260371,4,5,0,0.685,0.61,-5.36,0.183,0.464,0.0343,0.00348,0.00054
192,682,2024-02-13 04:21:09.093594,3aZSvXuZt8ymQeixzFQM9W,https://api.spotify.com/v1/tracks/3aZSvXuZt8ymQeixzFQM9W,KEYS TO MY LIFE,Kanye West,USA,audio_features,80.441,174083,4,11,0,0.487,0.553,-8.938,0.115,0.623,0.645,0.133,0.0
193,811,2024-02-13 04:21:09.093594,4YSa8VQxjzsski1DOsvkHH,https://api.spotify.com/v1/tracks/4YSa8VQxjzsski1DOsvkHH,DO IT,Kanye West,USA,audio_features,107.016,225000,4,1,1,0.83,0.69,-5.87,0.0795,0.622,0.0831,0.188,0.0
194,816,2024-02-13 04:21:09.093594,3IoAMvGFYzM05B64h7qmdf,https://api.spotify.com/v1/tracks/3IoAMvGFYzM05B64h7qmdf,PAPERWORK,Kanye West,USA,audio_features,120.811,145785,4,8,1,0.742,0.488,-5.308,0.0821,0.186,0.0551,0.0704,9.4e-06
195,817,2024-02-13 04:21:09.093594,4202KkXGtULRsbRocWSw09,https://api.spotify.com/v1/tracks/4202KkXGtULRsbRocWSw09,VULTURES,Kanye West,USA,audio_features,146.07,276987,4,1,0,0.703,0.683,-4.256,0.141,0.475,0.209,0.053,0.0
196,503,2024-02-13 04:21:09.093594,0FlwhvrncUKrEAhzunmCKm,https://api.spotify.com/v1/tracks/0FlwhvrncUKrEAhzunmCKm,Forever,Noah Kahan,USA,audio_features,94.78,268354,4,0,1,0.395,0.254,-10.855,0.122,0.235,0.037,0.723,0.0
197,530,2024-02-27 00:00:00.923904,7GUhiAHLoVy1V8ucQuZ3CB,https://api.spotify.com/v1/tracks/7GUhiAHLoVy1V8ucQuZ3CB,Popular (with Playboi Carti & Madonna),The Weeknd,USA,audio_features,99.018,215467,4,1,1,0.854,0.668,-6.243,0.382,0.833,0.2,0.0604,8.39e-05
198,671,2024-02-13 04:21:09.093594,4m4BHvDfzIgj5LbQLuFiIp,https://api.spotify.com/v1/tracks/4m4BHvDfzIgj5LbQLuFiIp,CARNIVAL,Kanye West,USA,audio_features,148.241,264324,4,1,1,0.596,0.81,-5.745,0.338,0.29,0.152,0.192,0.0
199,700,2024-02-13 04:21:09.093594,5rlXuCLnMdfo85079qXHoz,https://api.spotify.com/v1/tracks/5rlXuCLnMdfo85079qXHoz,FUK SUMN,Kanye West,USA,audio_features,142.092,209577,4,4,0,0.775,0.817,-2.825,0.053,0.463,0.147,0.132,0.0
200,688,2024-02-13 04:21:09.093594,0Tgm7wkLb0AfAHAZDschvD,https://api.spotify.com/v1/tracks/0Tgm7wkLb0AfAHAZDschvD,BACK TO ME,Kanye West,USA,audio_features,95.66,295472,4,1,1,0.815,0.788,-7.216,0.0613,0.336,0.0884,0.00104,0.0
201,667,2024-02-13 04:21:09.093594,6OON4kMjTFqARMFrRbmlwy,https://api.spotify.com/v1/tracks/6OON4kMjTFqARMFrRbmlwy,STARS,Kanye West,USA,audio_features,125.991,115238,4,0,0,0.584,0.567,-8.272,0.118,0.266,0.0436,0.258,0.121
202,3953,2024-02-29 00:00:00.939563,1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/tracks/1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,USA,audio_features,177.937,186192,4,1,1,0.411,0.619,-6.834,0.11,0.337,0.0368,0.62,0.0
203,823,2024-02-20 00:00:00.680989,5rb9QrpfcKFHM1EUbSIurX,https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),USHER,USA,audio_features,105.018,250373,4,2,1,0.894,0.791,-4.699,0.0388,0.583,0.112,0.0183,0.0
